Car_ID,Brand,Model,Year,Price,Color,Mileage,Fuel_Type,Transmission,Owner_Type
1,Toyota,Corolla,2022,25000,White,15000,Pertol,Automatic,First
2,Honda,Civic,2021,28000,Black,22000,Pertol,Manual,First
3,Ford,Mustang,2023,45000,Red,5000,Pertol,Automatic,First
4,Tesla,Model 3,2023,55000,Blue,3000,Electric,Automatic,First
5,Hyundai,Elantra,2022,22000,Gray,18000,Pertol,Automatic,Second
6,Toyota,Camry,2021,27000,Silver,25000,Hybrid,Automatic,First
7,Honda,Accord,2022,32000,White,12000,Hybrid,Automatic,First
8,BMW,X5,2023,65000,Black,8000,Pertol,Automatic,First
9,Mercedes,C300,2022,58000,Silver,14000,Pertol,Automatic,Second
10,Audi,A4,2021,42000,Blue,28000,Diesel,Automatic,Third
11,Nissan,Altima,2022,24000,Red,16000,Pertol,CVT,First
12,Chevrolet,Malibu,2021,21000,Gray,30000,Pertol,Automatic,Second
13,Kia,Optima,2023,26000,White,4000,Hybrid,Automatic,First
14,Subaru,Outback,2022,35000,Green,19000,Pertol,CVT,First
15,Mazda,CX5,2021,29000,Blue,23000,Pertol,Automatic,Second
16,Volkswagen,Jetta,2022,23000,Black,17000,Diesel,Manual,First
17,Hyundai,Tucson,2023,33000,Silver,6000,Pertol,Automatic,First
18,Toyota,RAV4,2022,34000,White,13000,Hybrid,Automatic,First
19,Honda,CRV,2021,31000,Red,26000,Pertol,CVT,Second
20,Ford,Escape,2022,29000,Blue,15000,Pertol,Automatic,First
21,BMW,3 Series,2023,48000,Gray,5000,Pertol,Automatic,First
22,Mercedes,GLC,2022,54000,Black,11000,Diesel,Automatic,Second
23,Audi,Q5,2021,49000,White,24000,Pertol,Automatic,Third
24,Tesla,Model Y,2023,62000,Blue,2000,Electric,Automatic,First
25,Nissan,Rogue,2022,30000,Silver,14000,Pertol,CVT,First
26,Chevrolet,Equinox,2021,25000,Red,27000,Pertol,Automatic,Second
27,Kia,Sportage,2023,28000,White,5000,Hybrid,Automatic,First
28,Subaru,Forester,2022,33000,Green,16000,Pertol,CVT,First
29,Mazda,Mazda3,2021,21000,Black,29000,Pertol,Manual,Second
30,Volkswagen,Tiguan,2022,32000,Blue,12000,Pertol,Automatic,First
31,Hyundai,Santa Fe,2023,38000,Gray,3000,Hybrid,Automatic,First
32,Toyota,Highlander,2022,42000,Silver,18000,Hybrid,Automatic,First
33,Honda,Pilot,2021,40000,White,25000,Pertol,Automatic,Second
34,Ford,Explorer,2022,43000,Black,13000,Pertol,Automatic,First
35,BMW,X3,2023,52000,Blue,4000,Pertol,Automatic,First
36,Mercedes,GLE,2022,68000,Silver,9000,Diesel,Automatic,Second
37,Audi,Q7,2021,63000,Black,21000,Pertol,Automatic,Third
38,Lexus,RX,2023,58000,White,2000,Hybrid,Automatic,First
39,Acura,MDX,2022,51000,Red,15000,Pertol,Automatic,First
40,Infiniti,QX60,2021,45000,Gray,28000,Pertol,Automatic,Second
41,Jeep,Grand Cherokee,2022,48000,Green,17000,Pertol,Automatic,First
42,Volvo,XC60,2023,54000,Blue,3000,Hybrid,Automatic,First
43,Porsche,Cayenne,2022,85000,White,8000,Pertol,Automatic,Second
44,Jaguar,F-Pace,2021,56000,Black,22000,Diesel,Automatic,Third
45,Land Rover,Discovery,2022,62000,Silver,14000,Pertol,Automatic,First
46,Mitsubishi,Outlander,2023,27000,Red,2000,Pertol,CVT,First
47,Chrysler,Pacifica,2022,39000,Blue,19000,Pertol,Automatic,First
48,Dodge,Durango,2021,44000,Black,31000,Pertol,Automatic,Second
49,GMC,Acadia,2022,41000,White,16000,Pertol,Automatic,First
50,Buick,Enclave,2023,47000,Gray,1000,Pertol,Automatic,First
